City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,mar del plata,AR,2020-04-15 16:07:13,-38.0,-57.56,63.0,59,75,18.34,broken clouds,0.0,0.0
1,katsuura,JP,2020-04-15 16:07:27,35.13,140.3,57.2,54,100,6.93,overcast clouds,0.0,0.0
2,victoria,HK,2020-04-15 16:07:28,22.29,114.16,72.0,64,89,2.24,overcast clouds,0.0,0.0
3,busselton,AU,2020-04-15 16:07:28,-33.65,115.33,55.0,58,32,6.91,scattered clouds,0.0,0.0
4,maykor,RU,2020-04-15 16:07:28,59.01,55.88,42.21,71,64,6.69,broken clouds,0.0,0.0
5,rikitea,PF,2020-04-15 16:07:28,-23.12,-134.97,75.36,67,43,1.21,scattered clouds,0.0,0.0
6,lorengau,PG,2020-04-15 16:07:28,-2.02,147.27,82.26,75,99,4.14,light rain,0.39,0.0
7,killybegs,IE,2020-04-15 16:07:29,54.63,-8.45,55.0,81,1,8.05,clear sky,0.0,0.0
8,lumsden,CA,2020-04-15 16:07:29,50.65,-104.87,26.6,38,20,5.82,few clouds,0.0,0.0
9,severo-kurilsk,RU,2020-04-15 16:07:29,50.68,156.12,30.47,93,100,10.07,overcast clouds,0.0,0.0
10,upernavik,GL,2020-04-15 16:07:29,72.79,-56.15,20.39,87,0,5.46,clear sky,0.0,0.0
11,lasa,IT,2020-04-15 16:07:30,46.62,10.7,69.8,37,5,6.93,clear sky,0.0,0.0
12,provideniya,RU,2020-04-15 16:07:30,64.38,-173.3,21.42,95,62,3.8,broken clouds,0.0,0.0
13,biltine,TD,2020-04-15 16:07:30,14.53,20.92,100.58,6,0,9.91,clear sky,0.0,0.0
14,khatanga,RU,2020-04-15 16:07:31,71.97,102.5,-7.13,89,0,3.98,clear sky,0.0,0.0
15,birao,CF,2020-04-15 16:07:31,10.28,22.79,102.09,6,19,9.69,few clouds,0.0,0.0
16,ushuaia,AR,2020-04-15 16:07:31,-54.8,-68.3,51.8,66,20,5.55,few clouds,0.0,0.0
17,jurmala,LV,2020-04-15 16:07:31,56.97,23.77,46.4,61,20,8.05,few clouds,0.0,0.0
18,punta arenas,CL,2020-04-15 16:07:32,-53.15,-70.92,53.6,76,99,4.56,overcast clouds,0.0,0.0
19,savonlinna,FI,2020-04-15 16:07:32,61.87,28.88,39.2,55,64,6.93,broken clouds,0.0,0.0
20,lemoore,US,2020-04-15 16:07:32,36.3,-119.78,64.99,82,1,3.36,clear sky,0.0,0.0
21,saskylakh,RU,2020-04-15 16:07:32,71.92,114.08,-5.22,91,91,6.06,overcast clouds,0.0,0.0
22,bluff,NZ,2020-04-15 16:07:33,-46.6,168.33,51.01,85,41,14.0,light rain,0.46,0.0
23,evensk,RU,2020-04-15 16:07:33,61.95,159.23,12.34,87,90,7.52,overcast clouds,0.0,0.0
24,dunedin,NZ,2020-04-15 16:07:22,-45.87,170.5,54.0,81,92,3.0,light rain,0.26,0.0
25,atuona,PF,2020-04-15 16:07:33,-9.8,-139.03,81.61,77,48,8.08,light rain,0.59,0.0
26,akyab,MM,2020-04-15 16:07:34,20.15,92.9,80.15,81,0,5.61,clear sky,0.0,0.0
27,drumheller,CA,2020-04-15 16:05:21,51.46,-112.71,35.01,44,100,12.41,light snow,0.0,0.52
28,yichang,CN,2020-04-15 16:04:45,30.71,111.28,66.87,65,0,0.98,clear sky,0.0,0.0
29,ibaiti,BR,2020-04-15 16:07:35,-23.85,-50.19,72.0,50,10,3.0,clear sky,0.0,0.0
30,dolores,AR,2020-04-15 16:07:35,-36.31,-57.68,62.64,59,16,15.05,few clouds,0.0,0.0
31,saint-augustin,CA,2020-04-15 16:07:35,51.23,-58.65,34.43,83,92,17.81,overcast clouds,0.0,0.0
32,terrace bay,CA,2020-04-15 16:07:36,48.78,-87.1,24.8,38,75,6.93,broken clouds,0.0,0.0
33,carnarvon,AU,2020-04-15 16:07:36,-24.87,113.63,75.2,73,40,19.46,scattered clouds,0.0,0.0
34,puerto ayora,EC,2020-04-15 16:07:36,-0.74,-90.35,82.4,78,75,9.17,heavy intensity rain,0.0,0.0
35,saint-georges,GD,2020-04-15 16:07:36,12.06,-61.75,86.0,66,20,19.46,few clouds,0.0,0.0
36,mataura,NZ,2020-04-15 16:07:36,-46.19,168.86,51.01,85,69,14.0,light rain,0.51,0.0
37,dikson,RU,2020-04-15 16:07:30,73.51,80.55,6.73,84,12,5.91,few clouds,0.0,0.0
38,hilo,US,2020-04-15 16:02:56,19.73,-155.09,71.6,73,75,4.7,broken clouds,0.0,0.0
39,vila velha,BR,2020-04-15 16:07:37,-20.33,-40.29,84.2,66,40,9.17,scattered clouds,0.0,0.0
40,east london,ZA,2020-04-15 16:03:43,-33.02,27.91,68.67,72,92,13.42,light rain,0.19,0.0
41,brae,GB,2020-04-15 16:07:37,60.4,-1.35,50.0,87,99,29.97,light rain,0.65,0.0
42,kodiak,US,2020-04-15 16:04:31,57.79,-152.41,41.0,86,90,4.7,fog,0.0,0.0
43,half moon bay,US,2020-04-15 16:07:38,37.46,-122.43,64.0,76,1,2.89,haze,0.0,0.0
44,tasiilaq,GL,2020-04-15 16:07:38,65.61,-37.64,28.4,79,75,10.29,broken clouds,0.0,0.0
45,klaksvik,FO,2020-04-15 16:06:06,62.23,-6.59,42.8,75,75,26.4,light rain,0.14,0.0
46,yar-sale,RU,2020-04-15 16:06:26,66.83,70.83,20.52,96,43,11.23,scattered clouds,0.0,0.0
47,hithadhoo,MV,2020-04-15 16:07:31,-0.6,73.08,85.3,70,92,8.52,light rain,1.18,0.0
48,bredasdorp,ZA,2020-04-15 16:07:39,-34.53,20.04,66.2,63,98,8.05,overcast clouds,0.0,0.0
49,kahului,US,2020-04-15 16:04:33,20.89,-156.47,71.6,78,1,5.82,clear sky,0.0,0.0
50,yakima,US,2020-04-15 16:05:57,46.47,-120.67,60.8,47,1,9.17,clear sky,0.0,0.0
51,bonthe,SL,2020-04-15 16:07:40,7.53,-12.51,86.94,67,100,9.91,light rain,2.67,0.0
52,hofn,IS,2020-04-15 16:07:40,64.25,-15.21,48.2,36,20,19.46,few clouds,0.0,0.0
53,pachino,IT,2020-04-15 16:07:41,36.72,15.09,62.6,67,40,6.93,scattered clouds,0.0,0.0
54,meadow lake,US,2020-04-15 16:07:41,34.8,-106.54,48.99,33,1,3.36,clear sky,0.0,0.0
55,cape town,ZA,2020-04-15 16:02:59,-33.93,18.42,68.0,55,100,6.93,overcast clouds,0.0,0.0
56,singarayakonda,IN,2020-04-15 16:07:42,15.25,80.03,79.92,78,0,9.53,clear sky,0.0,0.0
57,chokurdakh,RU,2020-04-15 16:07:42,70.63,147.92,-9.11,88,96,9.46,overcast clouds,0.0,0.0
58,port alfred,ZA,2020-04-15 16:07:42,-33.59,26.89,63.0,92,65,12.01,light rain,0.71,0.0
59,sorland,NO,2020-04-15 16:07:42,67.67,12.69,35.6,80,75,5.82,shower rain,0.0,0.0
60,taguatinga,BR,2020-04-15 16:07:43,-12.39,-46.57,72.7,83,100,2.42,moderate rain,3.49,0.0
61,vila franca do campo,PT,2020-04-15 16:07:43,37.72,-25.43,57.2,76,40,20.8,scattered clouds,0.0,0.0
62,yellowknife,CA,2020-04-15 16:07:43,62.46,-114.35,19.0,78,20,5.82,few clouds,0.0,0.0
63,fairbanks,US,2020-04-15 16:06:53,64.84,-147.72,37.99,86,1,2.95,clear sky,0.0,0.0
64,laguna,US,2020-04-15 16:06:02,38.42,-121.42,63.0,62,1,3.36,clear sky,0.0,0.0
65,jaca,ES,2020-04-15 16:07:44,42.57,-0.55,55.4,87,90,6.93,light rain,0.0,0.0
66,qaanaaq,GL,2020-04-15 16:07:44,77.48,-69.36,12.22,89,94,1.32,overcast clouds,0.0,0.0
67,gijon,ES,2020-04-15 16:04:11,43.54,-5.66,69.01,52,100,5.82,overcast clouds,0.0,0.0
68,georgetown,MY,2020-04-15 16:03:23,5.41,100.34,80.6,88,40,1.36,light rain,0.0,0.0
69,san ramon,US,2020-04-15 16:07:45,37.78,-121.98,64.0,58,1,0.92,clear sky,0.0,0.0
70,saint augustine,US,2020-04-15 16:07:45,29.89,-81.31,84.99,78,90,13.87,haze,0.0,0.0
71,kieta,PG,2020-04-15 16:07:45,-6.22,155.63,79.81,76,51,2.59,broken clouds,0.0,0.0
72,chapais,CA,2020-04-15 16:07:45,49.78,-74.85,17.6,52,1,8.05,clear sky,0.0,0.0
73,rawson,AR,2020-04-15 16:07:46,-43.3,-65.1,69.51,30,53,19.33,broken clouds,0.0,0.0
74,najran,SA,2020-04-15 16:07:46,17.49,44.13,82.4,39,40,16.11,scattered clouds,0.0,0.0
75,monrovia,LR,2020-04-15 16:07:46,6.3,-10.8,84.2,83,75,4.7,thunderstorm with rain,0.0,0.0
76,cabo san lucas,MX,2020-04-15 16:07:46,22.89,-109.91,73.99,46,5,2.19,clear sky,0.0,0.0
77,hobart,AU,2020-04-15 16:04:42,-42.88,147.33,59.0,72,40,11.41,light rain,0.0,0.0
78,ahmadpur east,PK,2020-04-15 16:07:47,29.14,71.26,90.84,13,2,4.72,clear sky,0.0,0.0
79,snezhnogorsk,RU,2020-04-15 16:07:47,69.19,33.25,39.2,55,20,8.95,few clouds,0.0,0.0
80,iralaya,HN,2020-04-15 16:07:47,15.0,-83.23,84.31,63,29,10.27,scattered clouds,0.0,0.0
81,sorong,ID,2020-04-15 16:05:08,-0.88,131.25,77.77,88,98,3.06,light rain,0.45,0.0
82,roald,NO,2020-04-15 16:07:48,62.58,6.13,46.4,100,75,34.45,light rain,0.0,0.0
83,lebu,CL,2020-04-15 16:07:40,-37.62,-73.65,60.84,56,100,7.92,overcast clouds,0.0,0.0
84,new norfolk,AU,2020-04-15 16:07:48,-42.78,147.06,59.0,72,40,11.41,scattered clouds,0.0,0.0
85,ancud,CL,2020-04-15 16:07:49,-41.87,-73.82,51.8,100,90,14.99,overcast clouds,0.0,0.0
86,riyadh,SA,2020-04-15 16:03:08,24.69,46.72,82.4,32,61,2.24,light rain,0.62,0.0
87,santa rosalia,MX,2020-04-15 16:07:49,27.32,-112.28,70.99,32,61,8.55,broken clouds,0.0,0.0
88,barrow,US,2020-04-15 16:07:49,71.29,-156.79,15.8,85,90,20.8,light snow,0.0,0.0
89,kapaa,US,2020-04-15 16:07:49,22.08,-159.32,66.99,78,90,6.93,moderate rain,0.0,0.0
90,broken hill,AU,2020-04-15 16:07:50,-31.95,141.43,78.8,29,66,10.29,broken clouds,0.0,0.0
91,bulungu,CD,2020-04-15 16:07:50,-4.55,18.6,89.89,51,75,3.69,broken clouds,0.0,0.0
92,bengkulu,ID,2020-04-15 16:05:34,-3.8,102.27,79.77,80,100,2.39,light rain,0.85,0.0
93,maniitsoq,GL,2020-04-15 16:07:50,65.42,-52.9,32.0,95,100,18.88,light snow,0.0,0.73
94,jardim,BR,2020-04-15 16:07:50,-21.48,-56.14,70.56,38,0,7.4,clear sky,0.0,0.0
95,tilichiki,RU,2020-04-15 16:07:51,60.47,166.1,13.37,95,78,5.86,broken clouds,0.0,0.0
96,thompson,CA,2020-04-15 16:03:05,55.74,-97.86,14.0,56,20,10.29,few clouds,0.0,0.0
97,pochutla,MX,2020-04-15 16:07:51,15.74,-96.47,90.0,58,5,1.16,clear sky,0.0,0.0
98,ribeira grande,PT,2020-04-15 16:07:52,38.52,-28.7,60.8,55,40,20.8,scattered clouds,0.0,0.0
99,tuktoyaktuk,CA,2020-04-15 16:07:52,69.45,-133.04,23.0,85,75,10.29,broken clouds,0.0,0.0
100,itoman,JP,2020-04-15 16:07:52,26.12,127.67,68.0,64,75,8.05,broken clouds,0.0,0.0
101,mareeba,AU,2020-04-15 16:07:52,-17.0,145.43,77.0,83,75,9.17,broken clouds,0.0,0.0
102,arraial do cabo,BR,2020-04-15 16:03:56,-22.97,-42.03,86.0,55,20,9.17,few clouds,0.0,0.0
103,tommot,RU,2020-04-15 16:07:53,58.96,126.29,34.84,78,74,4.23,broken clouds,0.0,0.0
104,bambous virieux,MU,2020-04-15 16:07:53,-20.34,57.76,78.8,78,75,13.87,broken clouds,0.0,0.0
105,stillwater,US,2020-04-15 16:05:20,36.12,-97.06,52.0,53,1,10.29,clear sky,0.0,0.0
106,great yarmouth,GB,2020-04-15 16:07:54,52.61,1.73,64.0,36,4,4.7,clear sky,0.0,0.0
107,isangel,VU,2020-04-15 16:07:54,-19.55,169.27,78.4,81,100,11.54,light rain,0.77,0.0
108,manta,EC,2020-04-15 16:07:54,-0.95,-80.73,82.4,74,75,4.7,broken clouds,0.0,0.0
109,rivne,UA,2020-04-15 16:07:55,50.62,26.23,44.6,45,40,22.37,scattered clouds,0.0,0.0
110,nanortalik,GL,2020-04-15 16:07:35,60.14,-45.24,36.64,92,100,18.99,light rain,1.93,0.0
111,castro,BR,2020-04-15 16:07:55,-24.79,-50.01,64.53,25,0,4.79,clear sky,0.0,0.0
112,kavieng,PG,2020-04-15 16:07:56,-2.57,150.8,82.26,73,100,2.98,light rain,1.75,0.0
113,phan thiet,VN,2020-04-15 16:07:56,10.93,108.1,78.53,73,0,12.24,clear sky,0.0,0.0
114,ketchikan,US,2020-04-15 16:07:57,55.34,-131.65,44.6,93,40,8.05,scattered clouds,0.0,0.0
115,pevek,RU,2020-04-15 16:07:57,69.7,170.31,5.54,95,100,3.13,overcast clouds,0.0,0.0
116,avarua,CK,2020-04-15 16:07:58,-21.21,-159.78,71.6,88,71,3.36,broken clouds,0.0,0.0
117,hermanus,ZA,2020-04-15 16:07:58,-34.42,19.23,64.99,78,100,5.86,overcast clouds,0.0,0.0
118,butaritari,KI,2020-04-15 16:07:59,3.07,172.79,82.72,81,100,15.57,light rain,1.09,0.0
119,longyearbyen,SJ,2020-04-15 16:07:59,78.22,15.64,33.8,74,75,34.45,broken clouds,0.0,0.0
120,villa carlos paz,AR,2020-04-15 16:03:45,-31.42,-64.5,73.0,43,0,5.82,clear sky,0.0,0.0
121,monduli,TZ,2020-04-15 16:08:00,-3.3,36.45,77.0,69,75,4.7,broken clouds,0.0,0.0
122,bilibino,RU,2020-04-15 16:08:00,68.05,166.44,1.58,84,85,3.67,overcast clouds,0.0,0.0
123,darhan,MN,2020-04-15 16:08:01,49.49,105.92,39.87,66,100,2.66,overcast clouds,0.0,0.0
124,vaini,TO,2020-04-15 16:08:01,-21.2,-175.2,69.8,94,20,3.36,few clouds,0.0,0.0
125,okitipupa,NG,2020-04-15 16:08:01,6.5,4.78,91.72,57,96,4.9,overcast clouds,0.0,0.0
126,bastia,FR,2020-04-15 16:08:02,42.67,9.33,69.8,42,0,5.82,clear sky,0.0,0.0
127,jogindarnagar,IN,2020-04-15 16:08:02,31.98,76.77,68.36,27,3,8.52,light rain,0.36,0.0
128,kaitangata,NZ,2020-04-15 16:08:02,-46.28,169.85,52.0,67,38,11.01,light rain,0.27,0.0
129,ahipara,NZ,2020-04-15 16:08:03,-35.17,173.17,61.65,73,69,18.79,light rain,0.43,0.0
130,nambucca heads,AU,2020-04-15 16:08:03,-30.65,153.0,68.0,72,3,6.93,clear sky,0.0,0.0
131,jamestown,US,2020-04-15 16:04:28,42.1,-79.24,39.2,64,90,9.17,light rain,0.0,0.0
132,nantucket,US,2020-04-15 16:03:08,41.28,-70.1,44.01,93,90,12.75,overcast clouds,0.0,0.0
133,kununurra,AU,2020-04-15 16:08:04,-15.77,128.73,73.4,78,99,3.47,overcast clouds,0.0,0.0
134,ponta do sol,PT,2020-04-15 16:07:29,32.67,-17.1,68.0,68,40,29.97,scattered clouds,0.0,0.0
135,los llanos de aridane,ES,2020-04-15 16:07:53,28.66,-17.92,75.2,50,20,10.29,few clouds,0.0,0.0
136,shu,KZ,2020-04-15 16:08:06,43.6,73.76,49.28,53,100,2.37,overcast clouds,0.0,0.0
137,brokopondo,SR,2020-04-15 16:08:06,4.75,-55.17,87.96,47,73,3.56,broken clouds,0.0,0.0
138,benghazi,LY,2020-04-15 16:08:07,32.12,20.07,68.05,64,68,14.43,broken clouds,0.0,0.0
139,tsabong,BW,2020-04-15 16:08:07,-26.02,22.4,76.93,12,0,5.06,clear sky,0.0,0.0
140,nuuk,GL,2020-04-15 16:08:07,64.18,-51.72,37.4,86,90,33.33,sleet,0.0,0.0
141,skjervoy,NO,2020-04-15 16:08:07,70.03,20.97,37.4,69,99,9.17,overcast clouds,0.0,0.0
142,teshie,GH,2020-04-15 16:08:08,5.58,-0.11,89.6,62,26,16.11,scattered clouds,0.0,0.0
143,khandyga,RU,2020-04-15 16:08:08,62.67,135.6,21.16,94,100,6.69,light snow,0.0,0.16
144,maicao,CO,2020-04-15 16:08:08,11.38,-72.24,86.86,50,39,13.85,scattered clouds,0.0,0.0
145,chipinge,ZW,2020-04-15 16:08:08,-20.19,32.62,73.24,55,31,5.88,light rain,0.75,0.0
146,payo,ID,2020-04-15 16:08:09,-3.75,103.64,75.65,89,100,1.16,light rain,2.83,0.0
147,faanui,PF,2020-04-15 16:08:09,-16.48,-151.75,82.24,67,2,7.4,clear sky,0.0,0.0
148,ulaanbaatar,MN,2020-04-15 16:06:56,47.91,106.88,33.8,69,63,6.71,broken clouds,0.0,0.0
149,crotone,IT,2020-04-15 16:08:09,39.09,17.12,55.4,47,0,21.92,clear sky,0.0,0.0
150,pisco,PE,2020-04-15 16:08:09,-13.7,-76.22,79.0,30,75,5.82,broken clouds,0.0,0.0
151,san quintin,MX,2020-04-15 16:08:10,30.48,-115.95,63.61,64,0,3.22,clear sky,0.0,0.0
152,sabang,ID,2020-04-15 16:08:10,5.89,95.32,83.75,76,58,4.05,broken clouds,0.0,0.0
153,leh,IN,2020-04-15 16:08:10,34.17,77.58,40.66,15,39,4.92,light snow,0.0,0.29
154,albany,US,2020-04-15 16:05:02,42.6,-73.97,46.0,38,75,14.99,light snow,0.0,0.0
155,sitka,US,2020-04-15 16:08:11,57.05,-135.33,42.8,93,90,3.36,overcast clouds,0.0,0.0
156,tucupita,VE,2020-04-15 16:08:11,9.06,-62.05,91.98,42,46,5.77,scattered clouds,0.0,0.0
157,mantua,IT,2020-04-15 16:07:44,45.17,10.78,64.0,31,0,3.36,clear sky,0.0,0.0
158,boueni,YT,2020-04-15 16:08:12,-12.9,45.08,84.2,74,40,6.93,scattered clouds,0.0,0.0
159,thinadhoo,MV,2020-04-15 16:08:04,0.53,72.93,85.66,68,93,5.55,light rain,0.21,0.0
160,kirakira,SB,2020-04-15 16:08:12,-10.45,161.92,81.52,79,100,5.08,light rain,0.11,0.0
161,harper,LR,2020-04-15 16:07:51,4.38,-7.72,85.96,70,39,8.21,light rain,1.09,0.0
162,souillac,MU,2020-04-15 16:08:12,-20.52,57.52,78.8,78,75,13.87,broken clouds,0.0,0.0
163,nizwa,OM,2020-04-15 16:08:13,22.93,57.53,86.22,16,100,4.23,overcast clouds,0.0,0.0
164,hoi an,VN,2020-04-15 16:08:13,15.88,108.33,75.2,88,40,1.12,scattered clouds,0.0,0.0
165,mahebourg,MU,2020-04-15 16:08:13,-20.41,57.7,78.8,78,75,13.87,broken clouds,0.0,0.0
166,imeni poliny osipenko,RU,2020-04-15 16:08:13,52.42,136.49,32.47,85,0,2.59,clear sky,0.0,0.0
167,bandar-e lengeh,IR,2020-04-15 16:08:14,26.56,54.88,69.8,94,75,6.93,broken clouds,0.0,0.0
168,brumunddal,NO,2020-04-15 16:08:14,60.88,10.94,59.0,39,9,7.0,clear sky,0.0,0.0
169,breves,BR,2020-04-15 16:08:14,-1.68,-50.48,87.73,59,59,2.91,broken clouds,0.0,0.0
170,port elizabeth,ZA,2020-04-15 16:08:14,-33.92,25.57,68.0,72,32,5.82,light rain,0.15,0.0
171,coquimbo,CL,2020-04-15 16:08:15,-29.95,-71.34,59.0,82,90,4.7,overcast clouds,0.0,0.0
172,chillicothe,US,2020-04-15 16:05:33,39.33,-82.98,50.0,33,1,14.99,clear sky,0.0,0.0
173,goderich,CA,2020-04-15 16:08:15,43.75,-81.72,37.0,63,84,13.82,light snow,0.0,0.26
174,jijiga,ET,2020-04-15 16:08:16,9.35,42.8,70.54,46,87,7.4,moderate rain,6.22,0.0
175,acajutla,SV,2020-04-15 16:08:16,13.59,-89.83,85.44,62,14,1.34,light rain,0.81,0.0
176,tecoanapa,MX,2020-04-15 16:08:17,16.52,-98.75,83.21,54,90,3.29,overcast clouds,0.0,0.0
177,saldanha,ZA,2020-04-15 16:08:17,-33.01,17.94,68.0,56,100,12.75,overcast clouds,0.0,0.0
178,kidal,ML,2020-04-15 16:08:18,18.44,1.41,102.72,6,67,11.03,broken clouds,0.0,0.0
179,ilulissat,GL,2020-04-15 16:08:18,69.22,-51.1,26.6,45,75,4.7,broken clouds,0.0,0.0
180,chuy,UY,2020-04-15 16:08:19,-33.7,-53.46,62.51,83,100,24.02,light rain,1.35,0.0
181,ponta delgada,PT,2020-04-15 16:08:19,37.73,-25.67,57.2,76,40,20.8,scattered clouds,0.0,0.0
182,northam,GB,2020-04-15 16:08:20,51.03,-4.22,60.8,44,0,10.29,clear sky,0.0,0.0
183,aklavik,CA,2020-04-15 16:08:20,68.22,-135.01,33.8,79,90,4.7,overcast clouds,0.0,0.0
184,pangkalanbuun,ID,2020-04-15 16:08:21,-2.68,111.62,78.57,85,91,2.55,overcast clouds,0.0,0.0
185,saint pete beach,US,2020-04-15 16:08:21,27.73,-82.74,88.0,78,75,19.46,broken clouds,0.0,0.0
186,reno,US,2020-04-15 16:07:29,39.53,-119.81,52.0,48,20,5.64,few clouds,0.0,0.0
